yyyy-mm,co2monthly,tempmonthly,seaice
1980-06,341.36,0.21,9
1980-07,339.45,0.22,6.53
1980-08,337.67,0.19,4.94
1980-09,336.25,0.2,4.87
1980-10,336.14,0.13,6.5
1980-11,337.3,0.3,8.73
1980-12,338.29,0.22,10.78
1981-01,339.29,0.53,11.91
1981-02,340.55,0.42,12.53
1981-03,341.63,0.48,12.71
1981-04,342.6,0.32,12.24
1981-05,343.04,0.25,10.99
1981-06,342.54,0.29,9.03
1981-07,340.82,0.32,6.31
1981-08,338.48,0.35,4.48
1981-09,336.95,0.15,4.44
1981-10,337.05,0.12,6.27
1981-11,338.58,0.23,8.31
1981-12,339.91,0.41,10.54
1982-01,340.93,0.05,12.19
1982-02,341.76,0.16,12.87
1982-03,342.77,0.03,13.07
1982-04,343.96,0.15,12.63
1982-05,344.77,0.18,11.17
1982-06,343.88,0.06,9.46
1982-07,342.42,0.15,6.87
1982-08,340.24,0.04,5
1982-09,338.38,0.14,4.43
1982-10,338.41,0.13,6.67
1982-11,339.44,0.18,9.06
1982-12,340.78,0.43,10.88
1983-01,341.57,0.53,12.01
1983-02,342.78,0.43,12.94
1983-03,343.37,0.42,12.93
1983-04,345.4,0.28,12.21
1983-05,346.14,0.34,10.87
1983-06,345.76,0.22,9.27
1983-07,344.32,0.18,6.86
1983-08,342.51,0.36,4.97
1983-09,340.46,0.37,4.7
1983-10,340.53,0.17,6.79
1983-11,341.79,0.3,8.99
1983-12,343.2,0.17,10.63
1984-01,344.21,0.31,11.68
1984-02,344.92,0.14,12.26
1984-03,345.68,0.26,12.55
1984-04,347.37,0.06,12.18
1984-05,347.78,0.33,10.88
1984-06,347.16,0.02,9.09
1984-07,345.79,0.19,6.3
1984-08,343.74,0.19,4.68
1984-09,341.59,0.21,4.11
1984-10,341.86,0.14,5.91
1984-11,343.31,0.07,8.24
1984-12,345,-0.04,10.27
1985-01,345.48,0.22,11.69
1985-02,346.41,-0.04,12.48
1985-03,347.91,0.17,12.75
1985-04,348.66,0.12,12.54
1985-05,349.28,0.14,11.25
1985-06,348.65,0.15,8.96
1985-07,346.9,0.04,5.99
1985-08,345.26,0.17,4.6
1985-09,343.47,0.13,4.23
1985-10,343.35,0.12,6.12
1985-11,344.73,0.05,8.42
1985-12,346.12,0.14,10.24
1986-01,346.78,0.26,11.88
1986-02,347.48,0.37,12.62
1986-03,348.25,0.3,12.72
1986-04,349.86,0.22,12.04
1986-05,350.52,0.21,10.7
1986-06,349.98,0.12,8.99
1986-07,348.25,0.11,6.62
1986-08,346.17,0.16,5.01
1986-09,345.48,0.03,4.72
1986-10,344.82,0.15,6.83
1986-11,346.22,0.1,8.87
1986-12,347.49,0.13,10.53
1987-01,348.73,0.32,11.9
1987-02,348.92,0.43,13.02
1987-03,349.81,0.18,12.83
1987-04,351.4,0.24,12.35
1987-05,352.15,0.25,10.97
1987-06,351.58,0.35,9.39
1987-07,350.21,0.4,6.55
1987-08,348.2,0.25,
1987-09,346.66,0.35,5.64
1987-10,346.72,0.33,7.49
1987-11,348.08,0.29,9.73
1987-12,349.28,0.46,
1988-01,350.51,0.57,
1988-02,351.7,0.44,13.57
1988-03,352.5,0.51,13.9
1988-04,353.67,0.43,13.18
1988-05,354.35,0.44,11.41
1988-06,353.88,0.4,9.68
1988-07,352.8,0.33,7.01
1988-08,350.49,0.39,5.42
1988-09,348.97,0.37,5.36
1988-10,349.37,0.38,7.52
1988-11,350.42,0.12,9.91
1988-12,351.62,0.29,11.99
1989-01,353.07,0.13,13.18
1989-02,353.43,0.3,13.36
1989-03,354.08,0.36,13.21
1989-04,355.72,0.29,12.36
1989-05,355.95,0.17,11.35
1989-06,355.44,0.17,9.95
1989-07,354.05,0.34,7.33
1989-08,351.84,0.33,5.56
1989-09,350.09,0.34,4.86
1989-10,350.33,0.29,6.96
1989-11,351.55,0.2,9.46
1989-12,352.91,0.37,11.61
1990-01,353.86,0.41,12.8
1990-02,355.1,0.44,13.42
1990-03,355.75,0.8,13.51
1990-04,356.38,0.56,12.28
1990-05,357.38,0.45,10.9
1990-06,356.39,0.37,9.2
1990-07,354.89,0.45,6.52
1990-08,353.06,0.34,4.99
1990-09,351.38,0.23,4.55
1990-10,351.69,0.44,6.74
1990-11,353.14,0.46,9.64
1990-12,354.41,0.4,11.47
1991-01,354.93,0.43,12.57
1991-02,355.82,0.49,13.22
1991-03,357.33,0.35,13.42
1991-04,358.77,0.51,12.87
1991-05,359.23,0.34,11.5
1991-06,358.23,0.53,9.66
1991-07,356.3,0.47,6.76
1991-08,353.97,0.39,5.21
1991-09,352.34,0.44,4.51
1991-10,352.43,0.29,6.75
1991-11,353.89,0.29,9.25
1991-12,355.21,0.32,11.19
1992-01,356.34,0.47,12.61
1992-02,357.21,0.4,13.58
1992-03,357.97,0.48,13.48
1992-04,359.22,0.27,12.84
1992-05,359.71,0.31,11.43
1992-06,359.44,0.26,9.95
1992-07,357.15,0.08,7.22
1992-08,354.99,0.08,5.44
1992-09,353.01,-0.01,5.43
1992-10,353.41,0.06,7.74
1992-11,354.42,0.03,9.75
1992-12,355.68,0.22,11.72
1993-01,357.1,0.34,12.93
1993-02,357.42,0.37,13.61
1993-03,358.59,0.36,13.77
1993-04,359.39,0.28,13.03
1993-05,360.3,0.28,11.42
1993-06,359.64,0.23,9.26
1993-07,357.45,0.25,6.28
1993-08,355.76,0.11,4.76
1993-09,354.14,0.11,4.58
1993-10,354.23,0.23,7.06
1993-11,355.53,0.03,9.54
1993-12,357.03,0.18,11.48
1994-01,358.36,0.26,12.88
1994-02,359.04,0.02,13.52
1994-03,360.11,0.29,13.55
1994-04,361.36,0.41,12.91
1994-05,361.78,0.28,11.66
1994-06,360.94,0.44,9.68
1994-07,359.51,0.3,6.92
1994-08,357.59,0.21,5.19
1994-09,355.86,0.32,5.13
1994-10,356.21,0.42,7.23
1994-11,357.65,0.44,9.71
1994-12,359.1,0.38,11.49
1995-01,360.04,0.52,12.79
1995-02,361,0.79,13.37
1995-03,361.98,0.47,13.34
1995-04,363.44,0.47,12.4
1995-05,363.83,0.27,10.9
1995-06,363.33,0.43,8.94
1995-07,361.78,0.45,6.16
1995-08,359.33,0.45,4.69
1995-09,358.32,0.34,4.43
1995-10,358.14,0.47,5.99
1995-11,359.61,0.44,9.03
1995-12,360.82,0.25,11.09
1996-01,362.2,0.24,12.15
1996-02,363.36,0.46,12.98
1996-03,364.28,0.32,12.9
